date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:24	190426/190426	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2014:44:23%20GMT	https://www.visitebelfort.com/	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/index.html	(from )
20:14:25	120/120	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2014:44:24%20GMT	https://www.visitebelfort.com/robots.txt		(from )
20:14:29	144946/144946	---M--	200	added ('OK')	image/webp	date:Thu,%2027%20Oct%202022%2014:44:28%20GMT	https://wwwvisitebelfortcoa8fac.zapwp.com/q:i/r:0/wp:1/w:1/u:https://www.visitebelfort.com/wp-content/uploads/2021/12/5ee09778-0f44-4929-a1af-eaeb5a7d4ad9-1-1024x682.jpg	C:/Users/dell/Desktop/barath/agri5/wwwvisitebelfortcoa8fac.zapwp.com/q_i/r_0/wp_1/w_1/u_https_/www.visitebelfort.com/wp-content/uploads/2021/12/5ee09778-0f44-4929-a1af-eaeb5a7d4ad9-1-1024x682.jpg	(from https://www.visitebelfort.com/)
20:14:30	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262ce244e-15b64%22	https://www.visitebelfort.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://www.visitebelfort.com/)
20:14:30	1381/1381	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2222725fa5afe934fe43bca70246a17694%22	https://www.visitebelfort.com/feed/	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/feed/index.html	(from https://www.visitebelfort.com/)
20:14:31	796/796	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2222725fa5afe934fe43bca70246a17694%22	https://www.visitebelfort.com/comments/feed/	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/comments/feed/index.html	(from https://www.visitebelfort.com/)
20:14:31	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%2263461c74-28c3%22	https://www.visitebelfort.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.5.1	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style2ff6.css	(from https://www.visitebelfort.com/)
20:14:32	230625/230625	---MCZ	200	added ('OK')	text/css	etag:W/%2263461c74-384e1%22	https://www.visitebelfort.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.5.1	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style2ff6.css	(from https://www.visitebelfort.com/)
20:14:33	19383/19383	---MCZ	200	added ('OK')	text/css	etag:W/%22634711d1-4bb7%22	https://www.visitebelfort.com/wp-content/themes/kadence/assets/css/global.min.css?ver=1.1.30	C:/Users/dell/Desktop/barath/agri5/www.visitebelfort.com/wp-content/themes/kadence/assets/css/global.min1d74.css	(from https://www.visitebelfort.com/)
20:14:36	300390/300390	---M--	200	added ('OK')	image/webp	date:Thu,%2027%20Oct%202022%2014:44:35%20GMT	https://wwwvisitebelfortcoa8fac.zapwp.com/q:i/r:0/wp:1/w:1/u:https://www.visitebelfort.com/wp-content/uploads/2021/12/15c069f0-26e2-4365-9b13-50897933312c.jpg	C:/Users/dell/Desktop/barath/agri5/wwwvisitebelfortcoa8fac.zapwp.com/q_i/r_0/wp_1/w_1/u_https_/www.visitebelfort.com/wp-content/uploads/2021/12/15c069f0-26e2-4365-9b13-50897933312c.jpg	(from https://www.visitebelfort.com/)
